c,largest_lyapunov_exponent,z_span
2.549999999999999822e+00,1.381296466409250804e-03,2.140362508677627673e+00
2.554999999999999716e+00,4.399108892572264028e-03,2.138676081349927482e+00
2.560000000000000053e+00,1.886469226392481794e-03,2.136952744161297435e+00
2.564999999999999947e+00,-1.788976989008962031e-03,2.135203232638033910e+00
2.570000000000000284e+00,-2.122582118801348994e-03,2.133422998030707785e+00
2.575000000000000178e+00,2.226089412274624701e-03,2.131635771770076015e+00
2.580000000000000071e+00,2.876293623653146414e-04,2.129831740820336439e+00
2.584999999999999964e+00,-1.478133236389422758e-03,2.127953938324036898e+00
2.589999999999999858e+00,-7.044255053707724167e-03,2.126206543513301739e+00
2.594999999999999751e+00,-2.595863120591151551e-03,2.124310367944154621e+00
2.600000000000000089e+00,-1.972186338572586971e-03,2.122353780338473328e+00
